Evaluation Response,Final Question Response,Final Question Codes,OTT Codes
566,Nice experience; love talking to people running for office,"Positive,Specific Feedback",
567,It takes a village to take care of all citizens who need that extra hand up. ,"Positive,Document",
568,We need to make more people aware of resources. We also need to work on more things for our youth. ,"Comp Plan Relevant,Specific Feedback","Government Education,Social Services"
569,Very informative!,Positive,
570,There are some things I don't agree with. I hope to see a change!,Positive,
571,1) Yes the meeting was a great success. 2) I learn that everyone sees In fill the same. Thing about Lexington Standing Still. 3) I keep all my answers the same,"Positive,Comp Plan Relevant",
572,"This was a good experience. I learned some new things. No, I did not change my mind about any of my answers. Thank you for doing this! Very helpful!",Positive,
573,736 W. Main St. Lex.Ky-,Not Usable,
574,"enjoyed. hearing comments from table members. Yes, I learned that there are members who are open-minded about changes in our community",Positive,
575,"Transportation options available, housing limitations- 1st time homeowners-retires. Assess to protect comprehensive plan",Comp Plan Relevant,"Housing Affordabiilty,Public Transportation"
576,I became more aware of the limited affordable housing situation. ,"Comp Plan Relevant,Specific Feedback",Housing Affordabiilty
577,A good experience. No change of mind.  ,Positive,
578,"Excellent experience- learned a lot about my neighbors and the dreams they have for Lexington. Some neighborhoods are cut off from town access to jobs, groceries, stores, education. I love gallery hop, green spaces, farmers market, Arboretum, festivals, art shows, symphony, Julietta Market, and Grey Line Station.","Positive,Comp Plan Relevant","Connectivity,Amenities & Quality of Life"
579,How we would work on small things that can make a big difference,Positive,
580,Add better education and access to food ,Comp Plan Relevant,"Public Education,Amenities & Quality of Life"
581,"I don't think I heard anything that would cause me to change any of my answers, but I definitely learned some things that would cause me to add to my answers. Thanks for the opportunity!!",Positive,
582,"thank you for offering this vehicle of input. Lexington is a good place to live w/ a lot to offer in employment, entertainment, worship, & education/training.","Positive,Document",
583,Everything being alright,Positive,
584,It was ok I don't feel it addresses enough issues to make changes in Lexington.,Negative,
585,"It was great! We also talked about public safety, gang violence, the breakdown of family, and mentorship",Positive,
586,Waiting for discussion to take place. Excellent discussion of ideas; opened my eyes to several opportunities.,Positive,
587,It was informative and enjoyable. I learned that some neighborhoods and portions of town had no accessible shopping areas unless residents drive them across town.,"Positive,Comp Plan Relevant",Connectivity
588,It was good; yes. We were in agreement to most o the areas. Great Job Shirley Carter.,"Positive,Specific Feedback",
589,I agree what I hear A good Conversation Hope Lexington goes in the right direction,Positive,
590,"It was a very good conversation about our communities that I didn't know. There are some changes that need to be looked into. The presentation was very informative, the set up was nice and we had very good refreshments.",Positive,
591,"yes, There are plats of land like Gledalethat was farmland but is in the urban county district zoning. Small well built houses w/ trees and green spaces can be utilized. ",Comp Plan Relevant,Growth Location
592,"Maybe have smaller groups have more sharing and have the meetings more often to get comfortable with each other and attack problems more intensely. Lex has many problems - gun violence, violence, drug, alcohol, spouse abuse etc. ","Positive,Comp Plan Relevant,Specific Feedback",Safety
593,Interesting to hear speakers articulate the various problems,Positive,
594,I learned more about the programs available through the city,Positive,
595,"Now, I think more about Lexington as a whole, I think. There are probably fairly simple and inexpensive solutions for traffic. ","Positive,Comp Plan Relevant",Traffic Congestion
596,Learned about other prob ,Positive,
597,very informative. Learned a little about several areas,Positive,
598,Our group was mostly in agreement about the major issues. It was interesting to learn that some others identified the biggest issue in town as a lot of traffic lanes. Ban gas-powered leaf & snow blowers :),"Positive,Comp Plan Relevant","Traffic Congestion,Environmental Sustainability & Resiliency"
599,Good to visit like minded people. The environment is important and as Greta Thumberg says we need to follow the science. No more fining people for trying to benefit the environment,"Positive,Comp Plan Relevant",Environmental Sustainability & Resiliency
600,acreage of infill & possibilities,Comp Plan Relevant,Infill & Redevelopment
601,Interesting to hear perspectives. Lots of ideas & agreement but we were limited in our knowledge or awareness of what is already being done. Trees!! Boo KU!,"Positive,Comp Plan Relevant",Trees
602,We have GREAT neighbors! Dialog is good!,Positive,
603,"'-Good to hear of the peoples opinions
-Did not change my mind but did bring other issues up that I support
-Justification in that Lexington ALREADY A GREAT PLACE TO LIVE",Positive,
604,discovered we agreed on ways to make Lexington a better city - need more info available what is happening,"Positive,Specific Feedback",
605,"I was good...an informative. However, I did NOT change my mind on any of my answers. The group participation was excellent!",Positive,
606,Time will be necessary to assess the value of this effort!,Specific Feedback,
607,"Better pay
less homelessness",Comp Plan Relevant,"Wages / Benefits,Social Services"
608,Recruitment and retention of minorities for jobs,Comp Plan Relevant,Economic Equity
609,pre k education,Comp Plan Relevant,Public Education
610,A good experience. A main takeaway: don't expand the urban service area! More affordable housing is needed and more efficient public transportation. More trees across the city.,"Positive,Comp Plan Relevant","Urban Services Boundary,Housing Affordabiilty,Public Transportation,Trees"
611,Good experiences. My table mates were well-informed and full of ideas/suggestions.,Positive,
612,"It was positive listening to other perspectives. Our council person shared some new information. I not (?) an opinion, but I might be as upset if some things I (?) happens.",Positive,
613,A good experience. We were among friends who know each other and share opinions,Positive,
614,It was a god experience (among friends). We agreed about much and I was exposed to new ideas. Thanks!,Positive,
615,Leader was skilled in involving all participants. He used follow up questions to elicit more discussion. he has an accepting attitude. Group seemed to have similar views - ie was not too diverse in opinions. Perhaps typical of people who would respond,"Positive,Specific Feedback",
616,"Very informative
Day care needed
Gun violence should be addressed
Mentoring for young people","Positive,Comp Plan Relevant","Social Services,Public Education,Safety"
617,"This was a delightful experience. We had a digression discussing drugs, gangs, and gun violence.",Positive,
618,Interesting group. I learned of more ongoing activities and programs that help the community.,Positive,
619,Great conversation. Didn't change my mind but opened it to other ideas.,Positive,
620,No I did not change my mind,"Positive,Negative",
621,"I am happy to be able to think deeply about the town of Lexington and get to know it.
I learned that people have different cultures but think the same thing.",Positive,
622,I had a good time!! I hope Lexington will grow better!!,Positive,
623,I met some wonderful women. ,Positive,
624,a little crazy but I hope you listen to fuss once - we have land but not that mush representation or voice to fight the developers/builders/realtors.,Specific Feedback,
625,thanks for the opportunity,Positive,
626,Some things were discussed was informative no change in my answer,Positive,
627,Very informative,Positive,
628,"Very interesting
Need changes",Positive,
629,"All ideas was the Same
in which had change and had (?) change
","Positive,Negative",
630,This survey is directed to people who live inside the Urban Service Area. We are opposed to expansion of the Urban Service Area and the RCUT proposal. ,Comp Plan Relevant,Urban Services Boundary
631,"Please let us continue to manage our growth responsibly. At this point, I do not support expanding the urban services area. There are many opportunities for fill-in in the existing urban areas. Builders should be willing to pay the required costs for building the infrastructure required in these small areas.",Comp Plan Relevant,"Infill & Redevelopment,Style of Development"
632,Yes,Positive,
633,Listen to Gloria Martin too!,Positive,
634,"1. More condenced Housing in DT Lex
2. Rural voters do not want expansion",Comp Plan Relevant,"Growth Location,Style of Development"
635,"Solar energy in government buildings
Plant more trees
reparations for African Americans
better mass transit
Love festivals
Love the library
Love the Arboretum
Love the farmers markets. ",Comp Plan Relevant,"Environmental Sustainability & Resiliency,Trees,Economic Equity,Amenities & Quality of Life,Urban Greenspaces"
636,"Do NOT censor books in libraries
I became aware of additional areas needing focus.
My understanding of issues expanded.
Great exercise for receiving input and stretching ideas.
Underserved neighborhoods & residents are important to consider for positive, creative improvements.","Positive,Comp Plan Relevant,Document",
637,I found the discussion to be supportive of my comments. ,Positive,
638,I did not change my mind but expanded my thoughts on different questions. It was nice to hear other opinions & thoughts.,Positive,
639,Great!!!,Positive,
640,"Mot really, these questions are all things friends & myself discuss often",Positive,
641,It was good to hear others have the same concerns! We need to look at the school system for more equal opportunity for all!,"Positive,Comp Plan Relevant",Public Education
642,"I learn a lot about Lexington, KY in conversation.... changing my mind.
Remain the same for all Remark of the question.",Positive,
643,No I Didn't Still Remain The Same!!!,Positive,
644,It was interesting. Hopefully this will make a difference over the years for lexington.,Positive,
645,New developments are underway!,Positive,
646,"'-Need LED certified buildings
-Need better tree canopy
-Need more buses of 1/2 size and on schedule and electric power. Increase public transportation!
-Better planning of increased growth for housing",Comp Plan Relevant,"Environmental Sustainability & Resiliency,Trees,Public Transportation,Style of Development"
647,It helped me see a little bit how members can connect to focus on improving the quality of peoples lives. ,Positive,
648,Thought more deeply about the environment+ how all these issues are connected to it. ,Positive,
649,I enjoyed taking this survey and expressing my opinion and I  hope the city of Lexington take our opinions in consideration,Positive,
650,Very interesting & informative discussion. Nice to have those that are specific to the environment.,Positive,
651,know I did not,Not Usable,
652,"Affordable housing & food security are something even conservative Lexingtonians can get behind. We agree on walkable neighborhoods.

The experience was good, but I wouldn't feel comfortable had I been of more marginalized identities or had lived experiences of more of the downsides of Lexington. ","Positive,Specific Feedback",
653,"Interesting to hear from people who have lived in different locations, including Europe. More Walking, biking, recycling, energy conservation. Discomfort talking about race, disparities in public schools, neighborhoods, opportunities. Several people in this group chose Lexington as a retirement location or great place to raise families. ","Positive,Specific Feedback",
654,"Several people who attended had interesting ideas, especially about transportation and pedestrian/bike friendly streets. this was a very wonderful conversation for me!",Positive,
655,Always great. Always enlightening. Great annual gathering.,Positive,
656,Useful discussions,Positive,
657,Really great & energizing. I would like to see more questions & data collected around supporting the Arts!,"Positive,Specific Feedback",
658,Excellent. Really enjoyed talking to & getting to know different perspectives. Very congenial group. We identified many similar things managing.,Positive,
659,"It was good, need more internet!","Positive,Comp Plan Relevant",Infrastructure & Utilities
660,"I learned the R-Cept term, but am unconcerned it serves the purpose on Old Richmond & Jacobson Park intersection. First, there is no sidewalks there, so I don't anticipate the pedestrian traffic, and if we change it into a city walking once we are changing the character of it's rural quality. The R-Cepts are quite acrobatic. I experienced them mid-city in large cities in Europe- but here- I don't see why make it more cumbersome to make an efficient ...?!",Comp Plan Relevant,"Walkability / Bikeability / Accessibility,Style of Development"
661,So So...,"Positive,Negative",
662,"Open gemerd(?) conversation, need more specifics",Negative,
663,"Please do not expand development, we are AGAINST the proposed Richmond Rd Athens Boonsboro Rd Corridor proposed by the state",Comp Plan Relevant,Style of Development
664,"Experience was good, hopefully we feel listened to.",Positive,
665,My answers are my own feebeing(?). I have lived in Lexington since 1968 and it has changed expansion and population-,"Positive,Negative",
666,"The process is needed but a bit disjointed. We feel the urban people are always asked to contribute or pay for things they never use- like the $5.24 monthly sewer ... tax and no one on sewer- But we rarely get city type features- god, fiber internet-cable-nothing like that. So- we're in the country and like the space and ... wish to stay that way.",Comp Plan Relevant,Infrastructure & Utilities
667,Great idea to discuss- Jack Neal,Positive,
668,Restrict development,Comp Plan Relevant,Style of Development
669,Unaware of single family housing shortage,Comp Plan Relevant,Style of Development
670,Confirmation of the sanctity of the USB!,Comp Plan Relevant,Urban Services Boundary
671,Excellent! Good conversation and information,Positive,
672,I learned the council members may not have understood that we live outside the growth area because we enjoy the spanse and solitude of our land,Comp Plan Relevant,Urban Services Boundary
673,Save the farms,Comp Plan Relevant,Rural Greenspace Conservation
674,"I learned a few things from the questions, save the farms!",Comp Plan Relevant,Rural Greenspace Conservation
675,"Take care of existing! Roads-parking and shoulders, police- more, stop speeding, fire- hydrants",Comp Plan Relevant,"Infrastructure & Utilities,Safety,Traffic Calming / Safety"
676,Preserving wildlife,Comp Plan Relevant,Rural Greenspace Conservation
677,"I learned new ideas about things like food waste, recycling, building efficiency and urban development. Also, someone suggested the city condemn derelict houses, rehab them and rent them to low income people.",Comp Plan Relevant,"Recycling & Composting,Style of Development,Infill & Redevelopment"
678,Very interesting & informative. Very interesting participants. Good to know there is such energy & knowledge about protecting the environment. Energized!,"Positive,Comp Plan Relevant",Environmental Sustainability & Resiliency
679,"I didn't change my mind about any of the issues, but I was uplifted by the commitment and desire for a future that'll be good for all.",Positive,
680,I am not confident it was useful on that it will have any impact.,Negative,
681,"It was a nice learning opportunity
I learned about urban service water runoff sollutions","Positive,Comp Plan Relevant",Water Infrastructure / Quality
682,Session should have been longer. Good decisions happening.,"Positive,Specific Feedback",
683,Pension liability is ongoing.,Comp Plan Relevant,
684,"Good, yes about current struggles and things up for discussion at the council level.",Positive,
685,I enjoyed it. Hope we had some worthwhile thoughts,Positive,
686,Enjoyed it - good to hear about other neighborhood issues,Positive,
687,No change in attitude. Some good ideas discussed.,"Didn't Change Mind,Positive",
688,Ok I wish we could talk more,Positive,
689,"Low cost options for education are paramount, especially technological fields & vocational options. People need reasonable sources to gain education & training without incurring extreme debt. Rents are very high now making temporary housing challenging for those in lower paying jobs. I prefer to subsidize someone working to help with rent.",Comp Plan Relevant,"Public Education,Workforce Training,Rental Issues"
690,We all need to give great thought to our vision of Lexington in 20 years. So many difficult decisions and plans to be made.,Positive,
