OTT Raw Data Response,Neighborhood Cluster,Neighborhood MC,Neighborhood - OR,Neighborhood Codes,Environment - MC,Environment - OR,Environment Codes,Jobs & Prosperity - MC,Jobs & Prosperity - OR,Jobs & Prosperity Codes,Transportation - MC,Transportation - OR,Transportation Codes,UR Balance MC,UR Balance - OR,UR Balance Codes,Lex - MC,Lex - OR,Lexington Codes,Gender,Age Range,Race,Race - Open Response,Highest Education Level,ZIP Code,Likely Council District
1844,Downtown ,"Yes, I like living in my neighborhood.","More diversity! I would love to have more neighbors from different backgrounds, and life experiences. Affordability is a common issue where I live and I would love to see more equal opportunity housing available.","Diversity / Equity / Inclusion,Housing Affordabiilty","Yes, I think protecting the environment should be a high priority","More negotiations with KU to keep our cities trees, as well as more opportunities to use solar energy and sustainable resources to keep our city and earth healthy!","Infrastructure & Utilities,Trees,Environmental Sustainability & Resiliency",I think very few people can succeed financially in Lexington,"I think that there are issues rooted in systemic racism and historic oppression that impact families in Lexington, such as red lining practices, discriminatory housing, income/pay disparities, school districting issues, and unequal educational funding and quality that need to be addressed. I believe a more diverse city council would be a great first step to begin to resolve some of these issues, as well as more focus on these issues and acknowledgement that they exist. More diverse voices please","Gentrification & Displacement,Diversity / Equity / Inclusion,Economic Equity","I think it is equally important for the city to prioritize cars, walking, biking, and public transit","Improving roads and sidewalks, as well as higher pay for public transit workers to encourage growth in staffing. A lot of families rely on public transportation to get to work, doctors appointments, etc. and it is essential that they have reliable resources to take care of themselves and their families. More reliable busses/transportation create opportunities for individuals across the board","Infrastructure & Utilities,Public Transportation,Economic Equity",I think growth in Lexington is always a good thing,I think growth in Lexington across the board would be wonderful!,Growth Location,"I like living/spending time in Lexington, but it could use some changes","Diversity, inclusion, and working toward equal opportunities for all. I believe in our community and it’s capacity to improve the quality of life for every individual and family. I love our city, and I want everybody who lives here to feel like the city loves them back regardless of race, ethnicity, gender, sexuality, religion, socio-economic status.","Diversity / Equity / Inclusion,Economic Equity",Female,20-30,White,,High School Diploma or equivalent,40508,"3,1"
1845,Andover,"Yes, I like living in my neighborhood.",More stores that are walking distance. ,"Amenities & Quality of Life,Walkability / Bikeability / Accessibility,Connectivity,Economic Development","Yes, I think protecting the environment should be a high priority","Encouraging more trees to be planted in the yards, especially more trees at the neighborhood park. ","Trees,Urban Greenspaces",I think everyone can succeed financially in Lexington,"I’m not exactly sure, but I know transportation is a big issue for some trying to get to school or work so maybe having more bus stops closer to neighborhoods. ",Public Transportation,"I think walking, biking, and public transit are more important for the city to prioritize",Expanding the city by having more restaurants and shops near neighborhoods would increase the amount of people choosing to bike or walk rather than drive. ,"Walkability / Bikeability / Accessibility,Amenities & Quality of Life",I think growth in Lexington is always a good thing,"Growth should happen most importantly in rebuilding neighborhoods that may be more run down now. This could be including more parks, reconstructing buildings, building community gardens, trying to make a greater sense of a safe community. ","Infill & Redevelopment,Style of Development,Urban Greenspaces,Safety,Amenities & Quality of Life","Yes, I like living/spending time in Lexington",I love living in lexington and I think it has a variety of urban vs rural areas easily accessible for people. One thing is I wish it had more entertainment for young adults because there is not a lot of activities for that age group. ,Amenities & Quality of Life,Female,10-20,White,,Less than High School Diploma,40509,6
1846,Stonewall,"Yes, I like living in my neighborhood.","Drivers obeying posted speed limits, particularly on Ft. Harrods Dr.  The city’s last effort to monitor and enforce traffic compliance in this area was not effective.",Safety,"Yes, I think protecting the environment should be a high priority","Acting locally is important….  VRR board should encourage all residents (through periodic reminders), to recycle those items identified by LFUCG, as curbside recyclables.
Take advantage of LFUCG sponsored (free) disposal events (paper shred, hazardous waste disposal, trash), as well as yard waste coupons for paper lawn bags.
Encourage VRR residents to utilize their own grocery bags (rather than store issued plastic) at the grocery store.  Return any plastic bags used, to the store for recycle.","Recycling & Composting,Government Services,Environmental Sustainability & Resiliency",I think everyone can succeed financially in Lexington,Too broad a topic - would like to hear group discussion.,,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",,,"I think growth in Lexington is a good thing, depending on how it happens",I think the beauty of Lexington/ Fayette County’s rural areas should be preserved at all costs.  I think the UK campus revitalization over the past decade is an excellent example of how to utilize a defined footprint(s) with development that offers both architectural attractiveness and functional utilization.  Build up rather than out wherever possible.,"Rural Greenspace Conservation,Style of Development","Yes, I like living/spending time in Lexington","Improvements to traffic (New Circle and Man-o-War)
Reduction in crime (violent and non-violent)
We like so many things about Lexington for ourselves and our guests.","Traffic Congestion,Safety",Male,60-70,White,,Master's Degree,40503,"9,10"
1847,Lansdowne / Glendover,"I like living in my neighborhood, but it could use some changes.",Sound barriers,Amenities & Quality of Life,"Yes, I think protecting the environment should be a high priority",,,I think that only some people can succeed financially in Lexington,,,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",,,"I think growth in Lexington is a good thing, depending on how it happens",,,"Yes, I like living/spending time in Lexington",,,Female,60-70,White,,Associate's Degree,40502,3
1848,Meadowthorpe,"Yes, I like living in my neighborhood.",More parking for the Distillery district so they don't park the small streets in the neighborhood full. Now that Uhaul has taken up much of the parking lot space the situation has gotten much.,"Parking,Style of Development","Yes, I think protecting the environment should be a high priority",A lot of Lexington has been developed in sinkholes and wetlands so occasional flooding is a problem. These areas should be restricted. ,"Water Infrastructure / Quality,Style of Development",I think everyone can succeed financially in Lexington,"Better education. Need to get back to reading, writing., arithmetic, history and science.  Too much woke social order stuff that makes non acedemic types have trouble holding a job. Being able to read and write cursive is extremely importent since historical documents are in that form. It also makes signing contracts next to impossible. If you can't  balence bank account, do taxes or do simple calculations in your head you will fail in life.",Public Education,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",Make bus pulloffs at bus stops so the don't impede traffic. Street name signs are too small and putting large street name signs a few hundred feet before the intersections on busy streets like Louisville  allows lane changes before the intersection.,"Public Transportation,Traffic Calming / Safety","I think growth in Lexington is a good thing, depending on how it happens","Urban sprawl is killing horse farms, Lexington's claim to fame.","Growth Location,Rural Greenspace Conservation","I like living/spending time in Lexington, but it could use some changes","Wider neighborhood sidewalks, most are so narrow that 2 people can't walk side by side which causes the to walk in the steet. No new development unless adequate parking is in the plan.","Walkability / Bikeability / Accessibility,Parking",Male,60-70,White,,Bachelor's Degree,40508,11
1849,Hartland / Squires,"I like living in my neighborhood, but it could use some changes.","1) Lessen car break-ins
2.) Less occasions were dogs running loose unrestrained
3.) When cars are parked on the main, Easthills entrance to the neighborhood, it's difficult to see for drivers pulling out from side streets.","Safety,Government Services,Parking,Traffic Calming / Safety","Yes, I think protecting the environment should be a high priority","while growth in Lexington is inevitable, we shouldn't lose so much of our ""green""space (i.e. trees,) etc. That's part of the beauty of the Bluegrass.","Style of Development,Urban Greenspaces,Rural Greenspace Conservation,Trees,Amenities & Quality of Life",I think that only some people can succeed financially in Lexington,"1.) I think it's unrealistic to think everyone will have financial success, but we could minimize poverty by establish/ offering programs designed to teach skills that can then be used to earn a living wage. Businesses can then be given incentives for hiring some of these folks.",Workforce Training,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit","1.) I think the city has done fairly well in creating bike routes along major roads and several walking trails are available. One of the biggest problems I see is that people have little regard for obeying traffic laws, i.e. running red lights and stop signs.","Walkability / Bikeability / Accessibility,Traffic Calming / Safety","I think growth in Lexington is a good thing, depending on how it happens","1.) I would love to see affordable ""venue"" space in some neighborhoods (i.e. clubhouses) that could be leased for hosting small scale events such as baby showers, bridal showers, photography shoots, art classes, etc. Most places currently are costly and you have only a couple hours to be there.",Amenities & Quality of Life,"I like living/spending time in Lexington, but it could use some changes","1.) Gun violence is a big issue, so if crime and drug activity were decreased it would be better.
2.) Creating equal accessible opportunity for all; in fact, when I asked several people whether they planned to participate in OTT, they never heard of it. Why?","Safety,Diversity / Equity / Inclusion",Female,60-70,Black / African-American,,High School Diploma or equivalent,40515,"7,8"
1850,Castlewood / Loudon,"I like living in my neighborhood, but it could use some changes.","More affordable housing, better sidewalks, less flooding ","Housing Affordabiilty,Infrastructure & Utilities,Water Infrastructure / Quality","Yes, I think protecting the environment should be a high priority","I would love to see mor street trees, better recycling, etc. ","Trees,Recycling & Composting",I think that only some people can succeed financially in Lexington,More job training and free post-high school education. Better paying jobs. ,"Workforce Training,Wages / Benefits,Public Education","I think walking, biking, and public transit are more important for the city to prioritize","Traffic is terrible and could be mitigated by having more cyclists, pedestrians, and transit users. ","Traffic Calming / Safety,Walkability / Bikeability / Accessibility,Public Transportation","I think growth in Lexington is a good thing, depending on how it happens",I would like  to see new growth focus on affordability and access to amenities. We need more housing units that are at an accessible price point and need more mixed use approaches to development. ,"Housing Affordabiilty,Amenities & Quality of Life,Style of Development","Yes, I like living/spending time in Lexington",,,Male,30-40,White,,Bachelor's Degree,40505,1
1851,Veterans,"Yes, I like living in my neighborhood.",community service,Amenities & Quality of Life,"I think protecting the environment is good, but it shouldn't be a high priority","Protect parks in Lexington, and regulate businesses harm to environment.","Urban Greenspaces,Environmental Sustainability & Resiliency",I think that only some people can succeed financially in Lexington,More tourist to Lexington for small business. ,Economic Development,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit","Where bike lanes are possible have them, but where it can interfere with cars and cause problems then it should be there.",Walkability / Bikeability / Accessibility,"I think growth in Lexington is a good thing, depending on how it happens",Downtown is already very crowded and adding more to it will only make parking worse.So as long as they find a way to have major parking with these new developments it will do great.,Parking,"Yes, I like living/spending time in Lexington",More activities to do,Amenities & Quality of Life,,,,,High School Student,,"4,12"
1852,Kirklevington,"I like living in my neighborhood, but it could use some changes.",Speed limit control and better park maintenance ,"Traffic Calming / Safety,Urban Greenspaces","I think protecting the environment is good, but it shouldn't be a high priority",,,,,,,,,,,,,,,,,,,,,4
1853,Wyndham,"No, I do not like living in my neighborhood.","Walkable amenities, more community involvement, name change, park access.","Amenities & Quality of Life,Urban Greenspaces,Walkability / Bikeability / Accessibility","Yes, I think protecting the environment should be a high priority","Carbon collection, more public transportation (to the outside neighborhoods), local markets (to reduce driving distances).","Environmental Sustainability & Resiliency,Public Transportation,Amenities & Quality of Life,Traffic Congestion",I think that only some people can succeed financially in Lexington,"I'm not sure, that's above my pay grade.",,"I think walking, biking, and public transit are more important for the city to prioritize",Expanding sidewalks and introduce bike voucher discounts,Walkability / Bikeability / Accessibility,"I think growth in Lexington is a good thing, depending on how it happens","I think that people should have the ability to live within a comfortable distance to their work, regardless of wage",Style of Development,"I like living/spending time in Lexington, but it could use some changes",More activities for nightshift workers and 20s,Amenities & Quality of Life,Male,20-30,White,,Associate's Degree,40514,9
1854,Southland,"Yes, I like living in my neighborhood.","A post office
Legal for golf carts to drive in the street ","Amenities & Quality of Life,Walkability / Bikeability / Accessibility","Yes, I think protecting the environment should be a high priority","Public education for recycling
Legalize golf carts on road for less pollution ","Government Education,Recycling & Composting,Environmental Sustainability & Resiliency",I think that only some people can succeed financially in Lexington,"Citywide minimum wage for head of household
Rent control ","Housing Affordabiilty,Wages / Benefits","I think it is equally important for the city to prioritize cars, walking, biking, and public transit","Legalize golf carts on side streets
More consistent bus schedules , public transit app with tracking ",Public Transportation,"I think growth in Lexington is a good thing, depending on how it happens",New growth can happen in most places.  Green space should be preserved as much as possible. ,"Urban Greenspaces,Rural Greenspace Conservation","Yes, I like living/spending time in Lexington",More funding for the arts ,"Government Services,Social Services",Male,30-40,White,,Bachelor's Degree,40503,10
1855,Old Richmond Road / Rural South,"Yes, I like living in my neighborhood.",Clean up the litter on a regular basis and fix the pavement on highway 25,Environmental Sustainability & Resiliency,"Yes, I think protecting the environment should be a high priority",Stop developing all the open areas.,"Urban Greenspaces,Rural Greenspace Conservation",I think that only some people can succeed financially in Lexington,"Need more good paying jobs, for the working class.",Economic Development,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit","The large busses do not make sense, they are never over 25 % full. You could add 3 to 1  smaller transports and cover a lot more area. Like the airports use to shuttle people around.",Public Transportation,"I think growth in Lexington is a good thing, depending on how it happens","Downtown, redevelop what's already there.",Growth Location,"I like living/spending time in Lexington, but it could use some changes",Must get a hold on crim,Safety,Male,70-80,White,,Bachelor's Degree,40515,12
1856,No Response,"Yes, I like living in my neighborhood.",Re open the grocery store on Romany road. ,Amenities & Quality of Life,"I think protecting the environment is good, but it shouldn't be a high priority",Make sure we have resources for those that fund this a high priority. ,Government Services,I think everyone can succeed financially in Lexington,Workforce development funds.  ,Workforce Training,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit","I believe making public transportation a highlighted resource, even if have a car, still encourage public transport by informing others about its features. ",Public Transportation,I think growth in Lexington is always a good thing,Improving areas that seem forgotten. ,,"Yes, I like living/spending time in Lexington",I would like to spend more time downtown but want less expensive parking. ,Parking,Female,40-50,White,,Bachelor's Degree,40502,Unknown
1857,No Response,"Yes, I like living in my neighborhood.",Better parking ,Parking,"Yes, I think protecting the environment should be a high priority",More public transportation ,Public Transportation,I think everyone can succeed financially in Lexington,Start fighting the homelessness crisis. ,Social Services,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",Provide more electric car charging stations. ,Environmental Sustainability & Resiliency,I think growth in Lexington is always a good thing,We should make downtown bigger. ,"Growth Location,Infill & Redevelopment","Yes, I like living/spending time in Lexington","Have more tourist attractions
",Economic Development,Male,10-20,White,,High School Diploma or equivalent,40508,Unknown
1858,Winburn / Radcliffe,"Yes, I like living in my neighborhood.",,,"I think protecting the environment is good, but it shouldn't be a high priority",,,I think everyone can succeed financially in Lexington,,,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",,,"I think growth in Lexington is a good thing, depending on how it happens",,,"I like living/spending time in Lexington, but it could use some changes",,,Female,,Asian,,High School Diploma or equivalent,40511,1
1859,Gardenside,"Yes, I like living in my neighborhood.",Increased police presence and decreased street parking.  More visible cross walks near our schools.  Reinvest in Garden Springs park.  Our once thriving park and neighborhood center is now mostly an empty field with little to no playground equipment.  The addition of parking has been needed for 30 years.,"Safety,Parking,Traffic Calming / Safety,Urban Greenspaces,Amenities & Quality of Life","I think protecting the environment is good, but it shouldn't be a high priority",,,I think that only some people can succeed financially in Lexington,"Lexington has a lot of good paying jobs, however it lacks affordable housing.  If I had to repurchase my home, I couldn’t afford it.

First and foremost, REDUCE PROPERTY TAXES.  Especially school tax.  We have one of the highest rates in the state, almost double the state property tax rate and see little to no return on our investment.  Reduce the size of government and the school district admin budgets to make up for the drop in revenue.  Stop creating new positions that are unneeded.

",Housing Affordabiilty,I think it’s more important for the city to prioritize cars,"Clearly the bus system needs revamped.  It’s useless for working parents.

Road conditions are absurd.  Newberry had us in a great place and the last two mayors have done little to nothing to improve or maintain our roads.  Widen what needed widened 30 years ago and start being proactive.","Traffic Congestion,Public Transportation","I think growth in Lexington is a good thing, depending on how it happens","Farm land needs to be left untouched.  End of story.  Preserve what we have left.  Once it’s gone, it’s gone.",Rural Greenspace Conservation,"No, I do not like living/spending time in Lexington",Better traffic flow.  ,Traffic Congestion,Male,30-40,White,,Associate's Degree,40504,10
1860,No Response,"Yes, I like living in my neighborhood.",Improved traffic flow ,"Traffic Congestion,Connectivity","Yes, I think protecting the environment should be a high priority","More paper recycling. Improve traffic flow for less emissions. Focus on tree planting, Stormwater runoff, trash bins and other easy to do items in ALL neighborhoods. Improve homelessness programs to reduce human waste ","Recycling & Composting,Traffic Congestion,Trees,Social Services",I think that only some people can succeed financially in Lexington,Job training. Improved transportation. Low cost reliable child care. Free summer programming for children so caregivers can be in the work force. More programs like DV8 that facilitate recovery to jobs.,"Workforce Training,Amenities & Quality of Life","I think it is equally important for the city to prioritize cars, walking, biking, and public transit",Timing of stop lights. Comprehensive traffic flow analysis. Improve road conditions.,Traffic Congestion,"I think growth in Lexington is a good thing, depending on how it happens","With a comprehensive plan. Housing needs for all. Lots of input from residents, industry, manufacturing, government, etc. Preserve history and agriculture influences.","Diversity / Equity / Inclusion,Rural Greenspace Conservation","Yes, I like living/spending time in Lexington","Addressing affordable housing, homelessness, social services, so Lexington works for all citizens.","Housing Affordabiilty,Social Services,Diversity / Equity / Inclusion",Female,60-70,White,,Bachelor's Degree,40502,Unknown
1861,Andover,"Yes, I like living in my neighborhood.","Don't make any of our streets ""through"" streets. Our street, Putter Laner is apparently a ""stub"" street & there are plans to cut down the trees & wooded area at the end of our street, in order to open it up to senior housing & we don't want this to happen!","Connectivity,Style of Development","Yes, I think protecting the environment should be a high priority",'-recycling of plastics again & cardboard,Recycling & Composting,I think that only some people can succeed financially in Lexington,"'-more affordable housing
-more assistance for those who are low-income/need one-time financial help w/rent, utilities, etc.","Housing Affordabiilty,Wages / Benefits","I think it is equally important for the city to prioritize cars, walking, biking, and public transit",Increase bike paths in & around town.,Environmental Sustainability & Resiliency,"I think growth in Lexington is a good thing, depending on how it happens",I feel sad when churches & homes & commercial space fills what need to be farmland. I (moved to) live in Lex just as Hamburg started to expand commercially. I'd like this type of growth to slow down.,"Rural Greenspace Conservation,Growth Location,Economic Development","Yes, I like living/spending time in Lexington",,,Female,40-50,White,,Master's Degree,40509,7
1862,Hartland / Squires,"Yes, I like living in my neighborhood.",,,"Yes, I think protecting the environment should be a high priority","Preserving the land for farming, nature & ag production processes that go along w/traditional farming practices","Rural Greenspace Conservation,Environmental Sustainability & Resiliency",I think that only some people can succeed financially in Lexington,,,I think it’s more important for the city to prioritize cars,Preserve the farm land at all costs to save the Bluegrass. Development can be done in areas already incorporated.,"Rural Greenspace Conservation,Growth Location","I think growth in Lexington is a good thing, depending on how it happens",Must preserve the land surrounding Urban Lexington. There's enough land inside the urban service area to work with at this point,"Rural Greenspace Conservation,Infill & Redevelopment","Yes, I like living/spending time in Lexington",,,Female,40-50,White,,Bachelor's Degree,40515,12
1863,Kenwick / Bell Ct. ,"I like living in my neighborhood, but it could use some changes.","Walking trails
Love public library
Kenwick is changing rapidly due to housing shortages.
House flippers are preying on our neighborhood & changing the culture

ADU will make our neighborhood much more crowded and polluted.","Walkability / Bikeability / Accessibility,Amenities & Quality of Life,Style of Development,Gentrification & Displacement,Rental Issues","Yes, I think protecting the environment should be a high priority",Yes! Protect the canopy prioritize parks.,"Trees,Urban Greenspaces,Rural Greenspace Conservation",I think that only some people can succeed financially in Lexington,"To more fully support the Black Community Free College, reparations to blacks","Economic Equity,Public Education","I think it is equally important for the city to prioritize cars, walking, biking, and public transit","Electric Cars

Bring back the trolly. ",Public Transportation,"I think growth in Lexington is a good thing, depending on how it happens",I think we need to allow for growth but  in environmentally clean ways and with a lot of forethought.,"Environmental Sustainability & Resiliency,Style of Development","Yes, I like living/spending time in Lexington",Finishing (or starting) the park that will go to Rupp to McConnell Springs,Urban Greenspaces,Female,70-80,White,,Master's Degree,40502,5
1864,Old Richmond Road / Rural South,"Yes, I like living in my neighborhood.",More playgrounds.  Neighborhood grocery store ,"Urban Greenspaces,Amenities & Quality of Life","Yes, I think protecting the environment should be a high priority",,,I think that only some people can succeed financially in Lexington,"Better unemployment management, better tax structure for businesses to retain staff and raise wages","Social Services,Wages / Benefits","I think walking, biking, and public transit are more important for the city to prioritize",More accessible bus routes,Public Transportation,"I think growth in Lexington is a good thing, depending on how it happens",,,"Yes, I like living/spending time in Lexington","More family friendly activities, better grocery options in the Hamburg/Richmond rd area ",Amenities & Quality of Life,Female,30-40,White,,Master's Degree,40509,7
1865,Winburn / Radcliffe,"I like living in my neighborhood, but it could use some changes.",A park with better maintenance. ,Urban Greenspaces,"Yes, I think protecting the environment should be a high priority",Reduce pollution. Preserve the wildlife.,Environmental Sustainability & Resiliency,I think that only some people can succeed financially in Lexington,,,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",,,I think growth in Lexington is always a good thing,,,"Yes, I like living/spending time in Lexington",,,Female,20-30,White,,Bachelor's Degree,40505,1
1866,Downtown ,"No, I do not like living in my neighborhood.","So many homeless people hang out at our entrances to our homes, they drink liquor, throw trash, smoke  use the bathroom on our sidewalks and porches they hang out at the gas station down the street from our homes it’s really disgusting ","Social Services,Government Services","Yes, I think protecting the environment should be a high priority","Clean our streets sidewalks  of all trash, plant more trees to help air quality ","Environmental Sustainability & Resiliency,Trees",I think everyone can succeed financially in Lexington,Help small businesses ,Economic Development,"I think walking, biking, and public transit are more important for the city to prioritize",,,"I think growth in Lexington is a good thing, depending on how it happens",,,"I like living/spending time in Lexington, but it could use some changes",,,Female,60-70,White,,More than Master's Degree,40508,11
1867,Stonewall,"I like living in my neighborhood, but it could use some changes.",Neighborhood is not as diverse as is like it to be. The schools end up being a reflection of that.,Diversity / Equity / Inclusion,"Yes, I think protecting the environment should be a high priority","Environmental decisions by companies that impact is all should be properly regulated. The public good should be adequately compensated to pay for ways to offset any environmental threats. Incentives should be given to promote a clean, healthy environment.","Government Services,Environmental Sustainability & Resiliency",I think everyone can succeed financially in Lexington,"There's room for, but the Lexington economic potential is as dynamic as any other similar sized city.",Economic Development,"I think walking, biking, and public transit are more important for the city to prioritize","We need to promote complete neighborhoods, where grocery stores, banks, parks, and other essentials are all within walking/biking distance. Especially with riding has prices.","Amenities & Quality of Life,Walkability / Bikeability / Accessibility","I think growth in Lexington is a good thing, depending on how it happens",We have to expand in ways that allow affordable housing for people to live in so that we all can take part in the expansion. But we also need to balance that with a value for farmland and other properties.,"Housing Affordabiilty,Rural Greenspace Conservation","Yes, I like living/spending time in Lexington",Lexington already has a lot to offer. Promoting that and drawing in tourism around that could be improved.,Economic Development,Male,30-40,Black / African-American,,Master's Degree,40503,9
1868,Hamburg / Greenbriar,"Yes, I like living in my neighborhood.",Police presence to ensure proper traffic rules are followed.  ,Safety,"I think protecting the environment is good, but it shouldn't be a high priority",,,I think everyone can succeed financially in Lexington,Better access to small business planning.  Have more of a focus where local government pushes small business development.  ,Economic Development,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",,,I think growth in Lexington is always a good thing,Just keep traffic patterns in mind.  ,Traffic Congestion,"Yes, I like living/spending time in Lexington",,,Male,40-50,White,,Bachelor's Degree,40509,12
1869,Castlewood / Loudon,"Yes, I like living in my neighborhood.","Less car traffic, more trash bins, better public transportation, grocery store","Traffic Congestion,Government Services,Public Transportation,Amenities & Quality of Life","Yes, I think protecting the environment should be a high priority","More tree plantings, more trash pickup, more public transit, more infill/densification","Trees,Government Services,Infill & Redevelopment,Style of Development,Public Transportation",I think that only some people can succeed financially in Lexington,"More outreach for job training and apprenticeships, more tech training in middle and high schools, more affordable housing","Workforce Training,Housing Affordabiilty","I think walking, biking, and public transit are more important for the city to prioritize","More public transit, more bike lines, mandatory periodical driver's exams, complete streets planning","Public Transportation,Walkability / Bikeability / Accessibility,Connectivity,Traffic Calming / Safety","I think growth in Lexington is a good thing, depending on how it happens","New growth should happen when infill is exhausted, when it is harmful to the environment or existing residents, and when it fits with the design/intention of the Comprehensive plan","Infill & Redevelopment,Style of Development,Environmental Sustainability & Resiliency","I like living/spending time in Lexington, but it could use some changes","More small businesses, less traffic especially downtown, world-class museums, more infill, better public transit","Economic Development,Traffic Congestion,Infill & Redevelopment,Public Transportation,Amenities & Quality of Life",Non-Binary,30-40,White,,Bachelor's Degree,40505,1
1870,Downtown ,"Yes, I like living in my neighborhood.",Downtown grocery ,Amenities & Quality of Life,"I think protecting the environment is good, but it shouldn't be a high priority",,,I think everyone can succeed financially in Lexington,,,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",,,"I think growth in Lexington is a good thing, depending on how it happens",,,"Yes, I like living/spending time in Lexington",,,,,,,,,"3,1"
1871,Picadome / Pensacola,"Yes, I like living in my neighborhood.",,,"Yes, I think protecting the environment should be a high priority",,,I think very few people can succeed financially in Lexington,AFFORDABLE housing for those in need. Lexington has become extremely difficult to live in as cost of living continues to rise and rate in pay tends to stay stagnant.,"Wages / Benefits,Housing Affordabiilty","I think walking, biking, and public transit are more important for the city to prioritize",,,"I think growth in Lexington is a good thing, depending on how it happens",,,"I like living/spending time in Lexington, but it could use some changes",I love Lexington however I feel it could be more equitable for others especially those with lower to no income.,"Diversity / Equity / Inclusion,Economic Equity",Non-Binary,30-40,White,,High School Diploma or equivalent,40503,10
1872,Old Richmond Road / Rural South,"I like living in my neighborhood, but it could use some changes.","'-fire hydrants!!
-code enforcement
-police presence","Safety,Government Services","Yes, I think protecting the environment should be a high priority","'-plant street trees
-Reduce auto use","Trees,Environmental Sustainability & Resiliency",I think everyone can succeed financially in Lexington,'-Reduce drug use- homelessness,Social Services,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",'-enforce speed limits,Traffic Calming / Safety,"I think growth in Lexington is a good thing, depending on how it happens","'-adaptive reuse of upper stories in downtown bldgs.
-mixed use in more areas of existing bldgs.","Infill & Redevelopment,Style of Development","Yes, I like living/spending time in Lexington",'-promote tourism,Economic Development,Female,60-70,White,,Master's Degree,40515,12
1873,Downtown ,"I like living in my neighborhood, but it could use some changes.","My neighborhood does not feel safe, multiple people have been assaulted in my neighborhood and I never know when it is and isn’t safe to walk near my home.",Safety,"Yes, I think protecting the environment should be a high priority",,,I think that only some people can succeed financially in Lexington,Panhandling is a huge problem in Lexington. We obviously need more support for the homeless in Lexington if people feel the need to ask for money on the street. There should be more ethical ways to help the homeless in Lexington.,Social Services,"I think it is equally important for the city to prioritize cars, walking, biking, and public transit",Bus stops should be safer in Lexington. I do not feel safe taking the bus after dark because I have to stand at the bus stop with little to no lighting where there are often others hanging around.,"Safety,Public Transportation","I think growth in Lexington is a good thing, depending on how it happens",Growth should not happen on the land of the poor or less fortunate.,Diversity / Equity / Inclusion,"Yes, I like living/spending time in Lexington",Lexington should be safer. Walking around Lexington is dangerous because people get assaulted and killed here on the street too often.,Safety,Non-Binary,10-20,"American Indian / Alaskan Native,Black / African-American,White",,High School Diploma or equivalent,40508,"11,3"
1874,Lansdowne / Glendover,"Yes, I like living in my neighborhood.",More speed tables to slow traffic.  ,Traffic Calming / Safety,,"Protect and expand our tree canopy with diverse tree species, particularly native trees. Reduce the areas that are mowed in our county parks and expand plant diversity in parks to aid our pollinators.  ","Trees,Environmental Sustainability & Resiliency,Urban Greenspaces,Rural Greenspace Conservation",I think that only some people can succeed financially in Lexington,"Due to the high cost of housing in Lexington, I think the there is a segment of folks who can’t financially succeed here.  Affordable housing and housing which is affordable are issues we need to continue to address.  Having a better public transportation system will help toward the goal of financial stability.  Fewer cars will help the environment.  ","Housing Affordabiilty,Public Transportation","I think walking, biking, and public transit are more important for the city to prioritize","I think it’s time for Lexington to boldly move forward in its commitment to a better mass transit system for Lexington and the surrounding counties.  Looking ahead to the next 20 years and beyond, I think it’s a critical piece to our city moving forward.  A good marketing campaign must accompany any new plan to help remove the stigma of bus public ridership.  Also, ALL bus stops should NOW have shelters for their riders.  Who wants to stand out in the rain while waiting for the bus?!",Public Transportation,"I think growth in Lexington is a good thing, depending on how it happens","Since we still have a lot of land available for development within the USB, it’s premature to expand.  It’s too early to know how the pandemic will affect commercial properties that, if vacant, can be repurposed for housing.  Let’s encourage the re-use/repurposing of vacant properties….especially for housing, when appropriate.","Urban Services Boundary,Infill & Redevelopment,Style of Development","I like living/spending time in Lexington, but it could use some changes","A better mass transit system which provide shuttle service to events at EKU, Center College.  Shuttles to the Louisville and Cincinnati airports. Let’s find out what’s working in other cities and pull from their successes.  Better connectivity with sidewalks and bike paths throughout the city.  Another outdoor theater like the Moondance Amphitheater in Beaumont…..in the Hamburg area.  ","Public Transportation,Walkability / Bikeability / Accessibility,Amenities & Quality of Life",Female,60-70,White,,Bachelor's Degree,40503,3
